,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,10316990,2016/12,0.9,10857440,873161,-1.5,859812,-5.1
1,9457182,2016/11,6.3,9984279,769298,10.8,852396,-5.4
2,8604786,2016/10,7.2,9214981,808799,-0.9,801547,-6.8
3,7801593,2016/09,-11.3,8406182,781896,-4.4,747556,-7.3
4,7054037,2016/08,-7.7,7624286,863799,-2.4,842905,-7.5
5,6211132,2016/07,-8.8,6760487,932939,-2.1,913292,-8.1
6,5290356,2016/06,-5.7,5827548,985724,1.5,1000858,-9.2
7,4289498,2016/05,10.7,4841824,1023079,3.7,1060795,-11.4
8,3228704,2016/04,16.3,3818745,1001617,-4.3,958332,-15.4
9,2275309,2016/03,22.1,2817128,1025361,-19.6,824346,-19.2
10,1450963,2016/02,-13.0,1791767,790040,-14.6,675039,-19.0
11,775924,2016/01,-11.1,1001727,1001727,-22.5,775924,-22.5
12,10870001,2015/12,13.5,12356784,902230,-3.2,873161,-12.0
13,9996840,2015/11,-4.9,11454130,866247,-11.2,769298,-12.7
14,9227542,2015/10,3.7,10587880,842504,-4.0,808799,-12.9
15,8416753,2015/09,-9.7,9745377,854347,-8.8,779906,-13.6
16,7624287,2015/08,-7.4,8891030,917692,-5.9,863799,-14.3
17,6760488,2015/07,-5.6,7973338,1011818,-7.8,932939,-15.2
18,5830239,2015/06,-3.4,6961520,1177060,-16.0,988414,-16.3
19,4841825,2015/05,2.1,5784460,1309589,-21.9,1023079,-16.3
20,3818745,2015/04,-2.3,4474871,1308228,-23.4,1001617,-14.7
21,2816992,2015/03,29.8,3166643,1255686,-18.4,1025225,-11.0
22,1791766,2015/02,-21.1,1910957,951692,-17.0,790040,-6.2
23,1001727,2015/01,10.4,959265,959265,4.4,1001727,4.4
24,12361564,2014/12,4.7,13141668,1000180,-9.3,907010,-5.9
25,11454555,2014/11,2.8,12139244,1027147,-15.7,866247,-5.6
26,10588310,2014/10,-1.4,11113040,1016798,-17.1,842504,-4.7
27,9745378,2014/09,-6.9,10103110,1001190,-14.7,854347,-3.5
28,8891032,2014/08,-9.3,9101916,1196694,-23.3,917692,-2.2
29,7973340,2014/07,-14.2,7905222,1248087,-18.9,1011818,1.0
30,6963779,2014/06,-9.9,6657135,1214403,-2.9,1179318,4.7
31,5784461,2014/05,0.1,5442732,1333262,-1.8,1309589,6.4
32,4474872,2014/04,4.5,4109470,1218165,7.4,1308228,9.1
33,3162410,2014/03,31.5,2891305,1140180,9.8,1251452,9.6
34,1910958,2014/02,-0.8,1751125,817839,16.4,951692,9.1
35,959265,2014/01,-5.4,933286,933286,2.8,959265,2.8
36,13155180,2013/12,-1.3,13508240,795253,27.5,1013690,-2.6
37,12139240,2013/11,1.0,12712980,945110,8.7,1027147,-4.5
38,11113040,2013/10,1.5,11767770,992905,2.4,1016798,-5.6
39,10094760,2013/09,-16.3,10774770,959268,4.4,1001190,-6.3
40,9094055,2013/08,-4.1,9815396,1086178,10.2,1196694,-7.3
41,7897178,2013/07,2.8,8729217,1211590,3.0,1248087,-9.5
42,6650459,2013/06,-8.9,7517627,1339160,-9.3,1214403,-11.5
43,5438157,2013/05,9.4,6178467,1418028,-6.0,1333262,-12.0
44,4103001,2013/04,6.8,4760305,1270372,-4.1,1218165,-13.8
45,2890610,2013/03,39.4,3489933,1216632,-6.3,1140305,-17.2
46,1751392,2013/02,-12.2,2273300,1154887,-29.2,817839,-23.0
47,931952,2013/01,0.0,1118413,1118413,-16.7,931952,-16.7
48,5783608,2012/12,3.3,6233675,468129,-21.9,365410,-7.2
49,5418197,2012/11,-11.1,5765545,508628,-30.5,353532,-6.0
50,5064665,2012/10,14.4,5256917,464046,-14.2,397934,-3.7
51,4666731,2012/09,-16.8,4792871,532343,-34.7,347690,-2.6
52,4319042,2012/08,-17.1,4260528,572114,-27.0,417908,1.4
53,3901133,2012/07,-6.7,3688415,580017,-13.1,504199,5.8
54,3396935,2012/06,-12.6,3108398,530205,1.9,540168,9.3
55,2856766,2012/05,3.0,2578192,537094,15.0,617783,10.8
56,2238983,2012/04,5.9,2041098,529629,13.2,599704,9.7
57,1639279,2012/03,3.4,1511470,585405,-3.3,565984,8.4
58,1073295,2012/02,4.0,926064,443472,23.4,547142,15.9
59,526153,2012/01,12.4,482592,482592,9.0,526153,9.0
