,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,125980,2016/12,8.9,146293,13195,-16.3,11044,-13.9
1,114936,2016/11,29.3,133097,11799,-14.0,10142,-13.6
2,104794,2016/10,-12.9,121298,10666,-26.5,7844,-13.6
3,96950,2016/09,-30.0,110632,11468,-21.5,9002,-12.4
4,87947,2016/08,15.4,99164,14473,-11.1,12860,-11.3
5,75087,2016/07,12.4,84691,15089,-26.2,11141,-11.3
6,63946,2016/06,-8.8,69602,13677,-27.5,9914,-8.1
7,54032,2016/05,18.8,55925,9515,14.3,10872,-3.4
8,43160,2016/04,-25.3,46410,9207,-0.6,9152,-7.0
9,34008,2016/03,50.1,37203,14691,-16.6,12247,-8.6
10,21761,2016/02,-40.0,22512,8637,-5.5,8160,-3.3
11,13602,2016/01,3.1,13875,13875,-2.0,13602,-2.0
12,146293,2015/12,11.8,152850,15447,-14.6,13195,-4.3
13,133098,2015/11,10.6,137615,11881,-0.7,11799,-3.1
14,121299,2015/10,-7.0,125733,10062,6.0,10666,-3.4
15,110633,2015/09,-20.8,115671,10682,7.4,11468,-4.0
16,99165,2015/08,-4.1,104989,11834,22.3,14473,-4.5
17,84692,2015/07,10.3,93155,15309,-1.4,15089,-7.9
18,69603,2015/06,43.7,77846,10394,31.6,13677,-9.5
19,55925,2015/05,3.3,67452,11807,-19.4,9515,-16.0
20,46410,2015/04,-37.3,55645,12193,-24.5,9207,-15.8
21,37203,2015/03,70.1,43452,17218,-14.7,14691,-13.1
22,22512,2015/02,-37.8,26234,12358,-30.1,8637,-14.2
23,13875,2015/01,-10.2,13876,13876,0.0,13875,0.0
24,152850,2014/12,30.0,186866,16597,-6.9,15447,-18.2
25,137404,2014/11,18.1,170269,13855,-14.3,11881,-19.3
26,125517,2014/10,-5.8,156420,12290,-18.1,10062,-19.8
27,115241,2014/09,-9.7,145373,14266,-25.1,10682,-20.0
28,103880,2014/08,-22.7,131107,17139,-31.0,11834,-20.0
29,92001,2014/07,47.3,113968,19421,-21.2,15309,-23.0
30,76941,2014/06,-12.0,94547,14968,-30.6,10394,-23.1
31,66546,2014/05,-3.2,79579,14037,-15.9,11808,-16.4
32,55123,2014/04,-29.2,65542,14473,-15.8,12193,-15.9
33,42792,2014/03,39.3,51069,17988,-4.3,17218,-16.2
34,26233,2014/02,-10.9,33081,14876,-16.9,12358,-20.7
35,13876,2014/01,-16.4,18205,18205,-23.8,13876,-23.8
36,186866,2013/12,19.9,249974,20402,-18.6,16597,-25.2
37,170269,2013/11,12.7,229572,20772,-33.3,13848,-25.8
38,156420,2013/10,-13.9,208800,19790,-37.9,12290,-25.1
39,144130,2013/09,-16.8,189010,20103,-29.0,14266,-23.7
40,129863,2013/08,-8.7,168908,24721,-30.7,17139,-23.1
41,112725,2013/07,30.6,144186,22217,-15.5,18772,-21.8
42,93952,2013/06,2.4,121970,17555,-18.1,14372,-23.0
43,79580,2013/05,-3.0,104415,18649,-24.7,14037,-23.8
44,65543,2013/04,-19.5,85765,19007,-23.9,14473,-23.6
45,51070,2013/03,20.9,66758,23611,-23.8,17988,-23.5
46,33082,2013/02,-18.3,43147,22804,-34.8,14876,-23.3
47,18205,2013/01,0.0,20343,20343,-10.5,18205,-10.5
48,249974,2012/12,-1.8,273454,25973,-21.4,20402,-8.6
49,229572,2012/11,5.0,247481,21513,-3.4,20772,-7.2
50,208800,2012/10,-1.5,225968,17689,11.9,19790,-7.6
51,189010,2012/09,-18.7,208278,21708,-7.4,20103,-9.3
52,168908,2012/08,11.3,186574,24773,-0.2,24721,-9.5
53,144186,2012/07,26.5,161800,27793,-20.1,22217,-10.9
54,121970,2012/06,-5.9,134007,25241,-30.5,17555,-9.0
55,104415,2012/05,-1.9,108766,20820,-10.4,18649,-4.0
56,85765,2012/04,-19.5,87945,20726,-8.3,19007,-2.5
57,66758,2012/03,3.5,67219,26896,-12.2,23611,-0.7
58,43147,2012/02,12.1,40323,15619,46.0,22804,7.0
59,20343,2012/01,-21.7,24704,24704,-17.6,20343,-17.6
