,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,1897281,2016/12,48.5,1976411,234562,-8.1,215660,-4.0
1,1681621,2016/11,-12.0,1741849,161036,-9.8,145249,-3.5
2,1536372,2016/10,3.8,1580813,175128,-5.7,165119,-2.8
3,1370766,2016/09,48.9,1405685,206932,-23.1,159070,-2.5
4,1211696,2016/08,-20.1,1198753,113757,-6.1,106837,1.1
5,1104859,2016/07,-20.2,1084996,137265,-2.5,133772,1.8
6,969412,2016/06,28.1,947731,185861,-9.9,167545,2.3
7,801867,2016/05,-20.3,761870,117306,11.5,130757,5.3
8,671110,2016/04,-13.1,644564,159356,2.9,163995,4.1
9,507078,2016/03,20.5,485208,209812,-10.0,188781,4.5
10,318297,2016/02,-3.1,275396,125152,25.2,156663,15.6
11,161634,2016/01,-31.6,150244,150244,7.6,161634,7.6
12,1978068,2015/12,46.7,2222549,240139,-1.6,236219,-11.0
13,1741849,2015/11,-8.1,1982410,140270,14.8,161036,-12.1
14,1580813,2015/10,-15.7,1842140,186481,-6.1,175128,-14.2
15,1406394,2015/09,82.5,1655659,225304,-7.8,207641,-15.1
16,1198753,2015/08,-17.1,1430355,120957,-5.9,113757,-16.2
17,1084996,2015/07,-26.1,1309398,193043,-28.9,137265,-17.1
18,947613,2015/06,58.3,1116355,218468,-15.0,185743,-15.1
19,761870,2015/05,-26.4,897887,122216,-4.0,117306,-15.1
20,644564,2015/04,-24.1,775671,230114,-30.8,159356,-16.9
21,485243,2015/03,67.7,545557,261678,-19.8,209847,-11.1
22,275396,2015/02,-16.7,283879,117891,6.2,125152,-3.0
23,150244,2015/01,-37.2,165988,165988,-9.5,150244,-9.5
24,2221734,2014/12,70.6,2580196,373774,-36.0,239324,-13.9
25,1982410,2014/11,-24.8,2206422,107012,31.1,140270,-10.1
26,1842140,2014/10,-17.8,2099410,179182,4.1,186481,-12.3
27,1657310,2014/09,87.6,1920228,348788,-34.9,226955,-13.7
28,1430355,2014/08,-37.3,1571440,147686,-18.1,120957,-9.0
29,1309398,2014/07,-11.6,1423754,161620,19.4,193043,-8.0
30,1116377,2014/06,78.8,1262134,290355,-24.8,218490,-11.6
31,897887,2014/05,-46.9,971779,158519,-22.9,122216,-7.6
32,775671,2014/04,-12.1,813260,179309,28.3,230114,-4.6
33,545700,2014/03,122.1,633951,275403,-4.9,261821,-13.9
34,283879,2014/02,-29.0,358548,213380,-44.8,117891,-20.8
35,165988,2014/01,-55.5,145168,145168,14.3,165988,14.3
36,2578972,2013/12,248.1,3452784,447155,-16.7,372550,-25.3
37,2206422,2013/11,-40.3,3008149,195471,-45.3,107012,-26.6
38,2099410,2013/10,-48.4,2812678,239630,-25.2,179182,-25.4
39,1918703,2013/09,135.1,2573048,368527,-5.8,347263,-25.4
40,1571440,2013/08,-8.6,2204403,228812,-35.5,147686,-28.7
41,1423754,2013/07,-44.5,1975591,224920,-28.1,161620,-27.9
42,1262951,2013/06,83.7,1750671,358163,-18.7,291172,-27.9
43,971779,2013/05,-11.6,1392508,210299,-24.6,158519,-30.2
44,813260,2013/04,-34.5,1182209,274671,-34.7,179309,-31.2
45,632229,2013/03,28.3,907538,478916,-42.8,273681,-30.3
46,358548,2013/02,47.0,428622,216382,-1.4,213380,-16.3
47,145168,2013/01,0.0,212240,212240,-31.6,145168,-31.6
48,2281223,2012/12,52.0,2343493,377898,-32.1,256424,-2.7
49,2024799,2012/11,11.9,1965595,161513,4.4,168642,3.0
50,1856157,2012/10,-41.3,1804082,156483,-3.7,150761,2.9
51,1705396,2012/09,78.3,1647600,228748,12.4,257005,3.5
52,1448391,2012/08,1.2,1418852,144204,-0.1,144109,2.1
53,1304282,2012/07,-38.8,1274648,126921,12.1,142344,2.3
54,1161938,2012/06,56.3,1150571,295313,-21.2,232596,1.0
55,929342,2012/05,-8.7,855258,112446,32.3,148800,8.7
56,780542,2012/04,-51.8,742812,124880,30.5,162973,5.1
57,617569,2012/03,134.6,628456,384701,-12.1,337987,-1.7
58,279582,2012/02,6.3,243755,119649,20.4,144082,14.7
59,135500,2012/01,-64.1,124106,124106,9.2,135500,9.2
