,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,10366260,2016/11,15.9,10122270,690402,24.4,858844,2.4
1,9507413,2016/10,14.7,9431865,573807,29.1,740914,0.8
2,8766500,2016/09,-6.2,8858058,871266,-25.8,646115,-1.0
3,8120385,2016/08,4.8,7986792,577458,19.3,688693,1.7
4,7431692,2016/07,-43.1,7409334,519829,26.4,656829,0.3
5,6774863,2016/06,-13.4,6889505,1160276,-0.5,1154158,-1.7
6,5620705,2016/05,-7.0,5729229,1353115,-1.5,1333447,-1.9
7,4287258,2016/04,13.4,4376114,1414891,1.3,1433423,-2.0
8,2853835,2016/03,136.6,2961223,1293892,-2.3,1264178,-3.6
9,1589657,2016/02,-49.4,1667331,389514,37.2,534381,-4.7
10,1055276,2016/01,24.8,1277817,1277817,-17.4,1055276,-17.4
11,10967669,2015/12,22.5,12117829,960442,-12.0,845402,-9.5
12,10122270,2015/11,20.3,11157390,703998,-1.9,690402,-9.3
13,9431865,2015/10,-34.1,10453390,790107,-27.4,573807,-9.8
14,8858058,2015/09,50.9,9663282,943679,-7.7,871266,-8.3
15,7986792,2015/08,11.1,8719603,917606,-37.1,577458,-8.4
16,7409334,2015/07,-55.2,7801997,526696,-1.3,519829,-5.0
17,6889505,2015/06,-14.3,7275301,1554190,-25.4,1160276,-5.3
18,5729229,2015/05,-4.4,5721111,1454973,-7.0,1353115,0.1
19,4376114,2015/04,9.4,4266138,1442902,-1.9,1414891,2.6
20,2961223,2015/03,232.2,2823236,1287821,0.5,1293892,4.9
21,1667331,2015/02,-69.5,1535415,597975,-34.9,389514,8.6
22,1277817,2015/01,33.0,937440,937440,36.3,1277817,36.3
23,12117829,2014/12,36.4,12982502,953193,0.8,960442,-6.7
24,11157387,2014/11,-10.9,12029309,805708,-12.6,703998,-7.3
25,10453390,2014/10,-16.3,11223600,826898,-4.4,790107,-6.9
26,9663282,2014/09,2.8,10396700,1062806,-11.2,943679,-7.1
27,8719603,2014/08,74.2,9333895,1033444,-11.2,917606,-6.6
28,7801997,2014/07,-66.1,8300451,576861,-8.7,526696,-6.0
29,7275301,2014/06,6.8,7723590,1458939,6.5,1554190,-5.8
30,5721111,2014/05,0.8,6264651,1681611,-13.5,1454973,-8.7
31,4266138,2014/04,12.0,4583040,1591228,-9.3,1442902,-6.9
32,2823236,2014/03,115.4,2991812,1026400,25.5,1287821,-5.6
33,1535415,2014/02,-36.2,1965412,679226,-12.0,597975,-21.9
34,937440,2014/01,-1.6,1286186,1286186,-27.1,937440,-27.1
35,12982500,2013/12,18.3,11577810,713060,33.7,953193,12.1
36,12029310,2013/11,-2.6,10864750,805745,0.0,805708,10.7
37,11223600,2013/10,-20.1,10059010,881505,-6.2,826898,11.6
38,10368320,2013/09,0.1,9177502,900058,14.9,1034421,13.0
39,9333896,2013/08,79.1,8277444,696830,48.3,1033444,12.8
40,8300451,2013/07,-61.6,7580614,537599,7.3,576861,9.5
41,7730087,2013/06,-10.3,7055196,1192789,26.4,1507811,9.6
42,6263515,2013/05,5.7,5866395,1829206,-8.1,1681611,6.8
43,4585127,2013/04,53.0,4033822,1462980,8.8,1591228,13.7
44,2998170,2013/03,53.1,2567526,1164151,-10.7,1040019,16.8
45,1957941,2013/02,-46.7,1400415,931609,-27.1,679226,39.8
46,1274374,2013/01,0.0,465311,465311,173.9,1274374,173.9
47,11607110,2012/12,-2.3,10431580,678566,16.0,787280,11.3
48,10824600,2012/11,1.4,9824224,601298,34.0,805745,10.2
49,10022410,2012/10,-18.8,8800768,804989,-1.3,794829,13.9
50,9230102,2012/09,0.0,8400548,913666,7.1,978738,9.9
