,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,848204,2016/12,-1.5,888262,70517,0.2,70620,-4.5
1,777584,2016/11,9.2,817745,72527,-1.1,71705,-4.9
2,705879,2016/10,-9.3,745218,65224,0.7,65663,-5.3
3,640216,2016/09,-5.0,679994,80980,-10.6,72396,-5.8
4,567820,2016/08,8.6,599014,75626,0.8,76226,-5.2
5,491594,2016/07,-8.7,523388,83768,-16.2,70221,-6.1
6,421373,2016/06,4.5,439620,80381,-4.4,76877,-4.2
7,344496,2016/05,-4.6,359239,83728,-12.1,73590,-4.1
8,270906,2016/04,8.1,275511,71237,8.2,77107,-1.7
9,193799,2016/03,34.4,204274,61982,15.1,71342,-5.1
10,122457,2016/02,-23.5,142292,61887,-14.2,53093,-13.9
11,69364,2016/01,-1.6,80405,80405,-13.7,69364,-13.7
12,888262,2015/12,-2.8,1026774,83666,-15.7,70517,-13.5
13,817745,2015/11,11.2,943108,91206,-20.5,72527,-13.3
14,745218,2015/10,-19.5,851902,90368,-27.8,65224,-12.5
15,679994,2015/09,7.1,761534,84743,-4.4,80980,-10.7
16,599014,2015/08,-9.7,676791,82111,-7.9,75626,-11.5
17,523388,2015/07,4.2,594680,81816,2.4,83768,-12.0
18,439620,2015/06,-4.0,512864,86166,-6.7,80381,-14.3
19,359239,2015/05,17.5,426698,85146,-1.7,83728,-15.8
20,275511,2015/04,14.9,341552,78136,-8.8,71237,-19.3
21,204274,2015/03,0.2,263416,80256,-22.8,61982,-22.5
22,142292,2015/02,-23.0,183160,82737,-25.2,61887,-22.3
23,80405,2015/01,-3.9,100423,100423,-19.9,80405,-19.9
24,1026774,2014/12,-8.3,1108429,101639,-17.7,83666,-7.4
25,943108,2014/11,0.9,1006790,90677,0.6,91206,-6.3
26,851902,2014/10,6.6,916113,92230,-2.0,90368,-7.0
27,761534,2014/09,3.2,823883,91204,-7.1,84743,-7.6
28,676791,2014/08,0.4,732679,86931,-5.5,82111,-7.6
29,594680,2014/07,-5.1,645748,82927,-1.3,81816,-7.9
30,512864,2014/06,1.2,562821,91131,-5.4,86166,-8.9
31,426698,2014/05,9.0,471690,90721,-6.2,85146,-9.5
32,341552,2014/04,-2.6,380969,100361,-22.1,78136,-10.4
33,263416,2014/03,-3.0,280608,100155,-19.9,80256,-6.1
34,183160,2014/02,-17.6,180453,75206,10.0,82737,1.5
35,100423,2014/01,-1.2,105247,105247,-4.6,100423,-4.6
36,1108429,2013/12,12.1,1302084,112442,-9.6,101639,-14.9
37,1006790,2013/11,-1.7,1189642,117037,-22.5,90677,-15.4
38,916113,2013/10,1.1,1072605,111710,-17.4,92230,-14.6
39,823883,2013/09,4.9,960895,120787,-24.5,91204,-14.3
40,732679,2013/08,4.8,840108,114467,-24.0,86931,-12.8
41,645748,2013/07,-9.0,725641,111771,-25.8,82927,-11.0
42,562821,2013/06,0.4,613870,111071,-18.0,91131,-8.3
43,471690,2013/05,-9.6,502799,110632,-18.0,90721,-6.2
44,380969,2013/04,0.2,392167,103369,-2.9,100361,-2.8
45,280608,2013/03,33.2,288798,110356,-9.2,100155,-2.8
46,180453,2013/02,-28.5,178442,94143,-20.1,75206,1.1
47,105247,2013/01,0.0,84299,84299,24.8,105247,24.8
48,1302084,2012/12,-3.9,1126601,101502,10.8,112442,15.6
49,1189642,2012/11,4.8,1025099,100051,17.0,117037,16.0
50,1072605,2012/10,-7.5,925048,88285,26.5,111710,15.9
51,960895,2012/09,5.5,836763,84968,42.2,120787,14.8
52,840108,2012/08,2.4,751795,83472,37.1,114467,11.7
53,725641,2012/07,0.6,668323,83080,34.5,111771,8.6
54,613870,2012/06,0.4,585243,96720,14.8,111071,4.9
55,502799,2012/05,7.0,488523,84661,30.7,110632,2.9
56,392167,2012/04,-6.3,403862,100372,3.0,103369,-2.9
57,288798,2012/03,17.2,303490,110149,0.2,110356,-4.8
58,178442,2012/02,11.7,193341,93105,1.1,94143,-7.7
59,84299,2012/01,-16.9,100236,100236,-15.9,84299,-15.9
