,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,2925079,2016/11,9.7,3011177,263765,6.2,280144,-2.9
1,2644935,2016/10,-7.4,2747412,252438,1.2,255448,-3.7
2,2389487,2016/09,-0.3,2494974,255956,7.8,275844,-4.2
3,2113643,2016/08,1.6,2239018,276638,0.0,276622,-5.6
4,1837021,2016/07,-11.5,1962380,305354,-10.9,272219,-6.4
5,1564802,2016/06,-3.9,1657026,306964,0.2,307700,-5.6
6,1257102,2016/05,0.6,1350062,324061,-1.2,320261,-6.9
7,936841,2016/04,24.7,1026001,318019,0.1,318231,-8.7
8,618610,2016/03,66.4,707982,272055,-6.2,255132,-12.6
9,363478,2016/02,-27.0,435927,164864,-7.0,153324,-16.6
10,210154,2016/01,-28.8,271063,271063,-22.5,210154,-22.5
11,3306229,2015/12,11.9,3553363,271531,8.7,295052,-6.9
12,3011177,2015/11,4.5,3281832,295892,-10.9,263765,-8.3
13,2747412,2015/10,-1.4,2985940,269151,-6.2,252438,-8.0
14,2494974,2015/09,-7.5,2716789,267121,-4.2,255956,-8.2
15,2239018,2015/08,-9.4,2449668,301529,-8.3,276638,-8.6
16,1962380,2015/07,-0.5,2148139,336738,-9.3,305354,-8.6
17,1657026,2015/06,-5.3,1811401,325328,-5.6,306964,-8.5
18,1350062,2015/05,1.9,1486073,344416,-5.9,324061,-9.1
19,1026001,2015/04,16.9,1141657,352171,-9.7,318019,-10.1
20,707982,2015/03,65.0,789486,312315,-12.9,272055,-10.3
21,435927,2015/02,-39.2,477171,249522,-33.9,164864,-8.6
22,271063,2015/01,-0.2,227649,227649,19.1,271063,19.1
23,3553363,2014/12,-8.2,3642339,303024,-10.4,271531,-2.4
24,3281832,2014/11,9.9,3339315,332713,-11.1,295892,-1.7
25,2985940,2014/10,0.8,3006602,300312,-10.4,269151,-0.7
26,2716789,2014/09,-11.4,2706290,294058,-9.2,267121,0.4
27,2449668,2014/08,-10.5,2412232,304376,-0.9,301529,1.5
28,2148139,2014/07,3.5,2107856,330918,1.8,336738,1.9
29,1811401,2014/06,-5.5,1776938,352579,-7.7,325328,1.9
30,1486073,2014/05,-2.2,1424359,345169,-0.2,344416,4.3
31,1141657,2014/04,12.8,1079190,302904,16.3,352171,5.8
32,789486,2014/03,25.2,776286,290388,7.6,312315,1.7
33,477171,2014/02,9.6,485898,203561,22.6,249522,-1.8
34,227649,2014/01,-24.9,282337,282337,-19.4,227649,-19.4
35,3642339,2013/12,-8.9,3541744,257487,17.7,303024,2.8
36,3339315,2013/11,10.8,3284257,247356,34.5,332713,1.7
37,3006602,2013/10,2.1,3036901,261301,14.9,300312,-1.0
38,2706290,2013/09,-3.4,2775600,245118,20.0,294058,-2.5
39,2412232,2013/08,-8.0,2530482,319955,-4.9,304376,-4.7
40,2107856,2013/07,-6.1,2210527,356147,-7.1,330918,-4.6
41,1776938,2013/06,2.1,1854380,364113,-3.2,352579,-4.2
42,1424359,2013/05,13.9,1490267,378779,-8.9,345169,-4.4
43,1079190,2013/04,4.3,1111488,339533,-10.8,302904,-2.9
44,776286,2013/03,42.7,771955,369102,-21.3,290388,0.6
45,485898,2013/02,-27.9,402853,227459,-10.5,203561,20.6
46,282337,2013/01,0.0,175394,175394,61.0,282337,61.0
47,3321322,2012/12,4.4,3383222,203867,14.4,233122,-1.8
48,3088200,2012/11,-3.9,3179355,214029,4.3,223269,-2.9
49,2864931,2012/10,0.3,2965326,241844,-4.0,232243,-3.4
50,2632688,2012/09,-20.2,2723482,261348,-11.4,231501,-3.3
51,2401187,2012/08,-13.1,2462134,272776,6.4,290232,-2.5
52,2110955,2012/07,-4.8,2189358,284358,17.4,333893,-3.6
53,1777062,2012/06,-5.6,1905000,308134,13.8,350636,-6.7
54,1426426,2012/05,14.4,1596866,402617,-7.7,371451,-10.7
55,1054975,2012/04,-7.5,1194249,415656,-21.9,324748,-11.7
56,730227,2012/03,69.7,778593,317912,10.4,350989,-6.2
57,379238,2012/02,20.0,460681,205062,0.9,206841,-17.7
58,172397,2012/01,-15.4,255619,255619,-32.5,172397,-32.5
59,3383222,2011/12,-4.7,4189005,279229,-27.0,203867,-19.2
60,3179355,2011/11,-11.5,3909776,305696,-30.0,214029,-18.7
61,2965326,2011/10,-7.5,3604080,337954,-28.4,241844,-17.7
62,2723482,2011/09,-4.2,3266126,315410,-17.1,261348,-16.6
63,2462134,2011/08,-4.1,2950716,379316,-28.1,272776,-16.5
64,2189358,2011/07,-7.7,2571400,379274,-25.0,284358,-14.9
65,1905000,2011/06,-23.5,2192126,391679,-21.3,308134,-13.1
66,1596866,2011/05,-3.1,1800447,376184,7.0,402617,-11.3
67,1194249,2011/04,30.7,1424263,407791,1.9,415656,-16.1
68,778593,2011/03,55.0,1016472,372853,-14.7,317912,-23.4
69,460681,2011/02,-19.8,643619,299874,-31.6,205062,-28.4
70,255619,2011/01,-8.4,343745,343745,-25.6,255619,-25.6
