,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,2279522,2016/12,-17.9,1746327,132256,94.6,257323,30.5
1,2022199,2016/11,18.1,1614072,134586,133.0,313591,25.3
2,1708608,2016/10,6.0,1479486,151182,75.6,265482,15.5
3,1443126,2016/09,23.9,1328304,158860,57.6,250411,8.6
4,1192715,2016/08,16.0,1169444,137858,46.6,202044,2.0
5,990671,2016/07,-5.6,1031586,122490,42.2,174143,-4.0
6,816528,2016/06,28.7,909096,149515,23.4,184454,-10.2
7,632074,2016/05,13.8,759581,169218,-15.3,143361,-16.8
8,488713,2016/04,19.6,590363,142808,-11.8,125971,-17.2
9,362742,2016/03,5.4,447555,145297,-27.5,105315,-19.0
10,257427,2016/02,-36.6,302258,136243,-26.7,99907,-14.8
11,157520,2016/01,19.1,166015,166015,-5.1,157520,-5.1
12,1746327,2015/12,-1.7,809289,139952,-5.5,132256,115.8
13,1614071,2015/11,-11.0,669337,102143,31.8,134586,141.1
14,1479485,2015/10,-4.8,567194,146267,3.4,151182,160.8
15,1328303,2015/09,15.2,420927,49613,220.2,158860,215.6
16,1169444,2015/08,12.6,371314,79841,72.7,137858,214.9
17,1031586,2015/07,-18.1,291473,45725,167.9,122490,253.9
18,909096,2015/06,-11.6,245748,59592,150.9,149515,269.9
19,759581,2015/05,18.5,186156,55090,207.2,169218,308.0
20,590363,2015/04,-1.7,131066,65036,119.6,142808,350.4
21,447555,2015/03,6.7,66030,52049,179.1,145297,577.8
22,302257,2015/02,-17.9,13981,6300,2062.6,136243,2061.9
23,166015,2015/01,18.6,7681,7681,2061.4,166015,2061.4
24,809289,2014/12,37.0,315208,4307,3149.4,139952,156.8
25,669338,2014/11,-30.2,310901,9764,946.1,102143,115.3
26,567195,2014/10,194.8,301136,8368,1647.9,146267,88.3
27,420928,2014/09,-37.9,292768,10150,388.8,49613,43.8
28,371314,2014/08,74.6,282618,10097,690.7,79841,31.4
29,291473,2014/07,-23.3,272521,107697,-57.5,45725,6.9
30,245748,2014/06,8.2,164824,9529,525.4,59592,49.1
31,186156,2014/05,-15.3,155295,10031,449.2,55090,19.9
32,131066,2014/04,25.0,145264,60638,7.3,65036,-9.8
33,66030,2014/03,726.2,84626,39252,32.6,52049,-22.0
34,13981,2014/02,-18.0,45374,20792,-69.7,6300,-69.2
35,7681,2014/01,78.3,24582,24582,-68.8,7681,-68.8
36,315208,2013/12,-55.9,356738,16730,-74.3,4307,-11.6
37,310901,2013/11,16.7,340008,57566,-83.0,9764,-8.6
38,301136,2013/10,-17.5,282442,33745,-75.2,8368,6.6
39,292768,2013/09,0.5,248697,22369,-54.6,10150,17.7
40,282618,2013/08,-90.6,226328,40663,-75.2,10097,24.9
41,272520,2013/07,1030.2,185665,30038,258.5,107697,46.8
42,164823,2013/06,-5.0,155627,28668,-66.8,9529,5.9
43,155294,2013/05,-83.4,126959,27257,-63.2,10031,22.3
44,145264,2013/04,54.5,99702,27179,123.1,60638,45.7
45,84626,2013/03,88.8,72524,28212,39.1,39252,16.7
46,45374,2013/02,-15.4,44312,12811,62.3,20792,2.4
47,24582,2013/01,0.0,31501,31501,-22.0,24582,-22.0
48,356738,2012/12,-70.9,682718,44459,-62.4,16730,-47.7
49,340008,2012/11,70.6,638259,54839,5.0,57566,-46.7
50,282442,2012/10,50.8,583420,60426,-44.2,33745,-51.6
51,248697,2012/09,-45.0,522994,65009,-65.6,22369,-52.4
52,226328,2012/08,35.4,457984,66986,-39.3,40663,-50.6
53,185665,2012/07,4.8,390998,57878,-48.1,30038,-52.5
54,155627,2012/06,5.2,333120,46967,-39.0,28668,-53.3
55,126959,2012/05,0.3,286153,66203,-58.8,27257,-55.6
56,99702,2012/04,-3.7,219950,50084,-45.7,27179,-54.7
57,72524,2012/03,120.2,169866,71699,-60.7,28212,-57.3
58,44311,2012/02,-59.3,98167,40373,-68.3,12811,-54.9
59,31501,2012/01,-29.1,57794,57794,-45.5,31501,-45.5
