,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,2819152,2016/12,-13.5,2970413,139544,-18.6,113604,-5.1
1,2705548,2016/11,-60.5,2830870,143598,-8.6,131277,-4.4
2,2574271,2016/10,5.7,2687272,259327,28.1,332111,-4.2
3,2242160,2016/09,8.4,2427945,282879,11.1,314141,-7.7
4,1928019,2016/08,-9.1,2145066,296421,-2.3,289742,-10.1
5,1638277,2016/07,-2.8,1848645,378882,-15.8,318877,-11.4
6,1319399,2016/06,44.9,1469763,334860,-2.1,327878,-10.2
7,991522,2016/05,0.0,1134903,319498,-29.2,226308,-12.6
8,765214,2016/04,121.9,815405,225605,0.3,226317,-6.2
9,538896,2016/03,-69.2,589800,173365,-41.2,102011,-8.6
10,436886,2016/02,212.4,416435,313794,5.5,330945,4.9
11,105941,2016/01,-24.1,102641,102641,3.2,105941,3.2
12,2970413,2015/12,-2.8,2882294,93538,49.2,139544,3.1
13,2830869,2015/11,-44.6,2788752,112998,27.1,143598,1.5
14,2687271,2015/10,-8.3,2675754,279316,-7.2,259327,0.4
15,2427944,2015/09,-4.6,2396438,236318,19.7,282879,1.3
16,2145065,2015/08,-21.8,2160120,365173,-18.8,296421,-0.7
17,1848644,2015/07,13.1,1794947,456591,-17.0,378882,3.0
18,1469762,2015/06,4.8,1338356,343852,-2.6,334860,9.8
19,1134902,2015/05,41.6,994504,281325,13.6,319498,14.1
20,815404,2015/04,30.1,713179,196872,14.6,225605,14.3
21,589800,2015/03,-44.8,516307,136720,26.8,173365,14.2
22,416434,2015/02,205.7,379587,271855,15.4,313794,9.7
23,102641,2015/01,9.7,107732,107732,-4.7,102641,-4.7
24,2882294,2014/12,-17.2,3105532,96910,-3.5,93538,-7.2
25,2788756,2014/11,-59.5,3008623,154339,-26.8,112998,-7.3
26,2675758,2014/10,18.2,2854284,300667,-7.1,279316,-6.3
27,2396441,2014/09,-35.3,2553614,291164,-18.8,236318,-6.2
28,2160123,2014/08,-20.0,2262450,406200,-10.1,365173,-4.5
29,1794949,2014/07,32.8,1856250,343080,33.1,456591,-3.3
30,1338357,2014/06,22.2,1513170,382351,-10.1,343852,-11.6
31,994505,2014/05,42.9,1130819,252512,11.4,281325,-12.1
32,713180,2014/04,44.0,878307,177203,11.1,196872,-18.8
33,516307,2014/03,-49.7,701104,233787,-41.5,136720,-26.4
34,379587,2014/02,152.3,467317,363063,-25.1,271855,-18.8
35,107732,2014/01,11.2,104254,104254,3.3,107732,3.3
36,3105532,2013/12,-37.2,2986681,136100,-28.8,96910,4.0
37,3008623,2013/11,-48.7,2851035,133229,15.8,154339,5.5
38,2854284,2013/10,3.3,2717805,464461,-35.3,300667,5.0
39,2553617,2013/09,-28.3,2253344,318570,-8.6,291165,13.3
40,2262452,2013/08,18.4,1934774,306076,32.7,406200,16.9
41,1856252,2013/07,-10.3,1628698,358948,-4.4,343081,14.0
42,1513171,2013/06,51.4,1269750,276601,38.2,382352,19.2
43,1130819,2013/05,42.5,993149,202844,24.5,252512,13.9
44,878307,2013/04,-24.2,790305,166183,6.6,177204,11.1
45,701104,2013/03,-35.6,624122,102000,129.2,233787,12.3
46,467316,2013/02,248.2,522122,423530,-14.3,363063,-10.5
47,104254,2013/01,0.0,98592,98592,5.7,104254,5.7
48,2839914,2012/12,-4.5,2676819,106193,12.4,119358,6.1
49,2720556,2012/11,-72.1,2570626,229286,-45.5,125003,5.8
50,2595554,2012/10,43.9,2341340,295091,51.8,447858,10.9
51,2147696,2012/09,8.5,2046249,208535,49.3,311272,4.9
52,1836427,2012/08,-18.4,1837714,414460,-30.8,286860,-0.1
53,1549564,2012/07,37.7,1423254,363884,-3.4,351612,8.9
54,1197952,2012/06,31.8,1059370,261885,-2.5,255390,13.1
55,942562,2012/05,27.1,797484,169511,14.3,193785,18.2
56,748777,2012/04,61.1,627973,140140,8.8,152482,19.2
57,593618,2012/03,-76.9,487833,162324,-41.7,94671,21.7
58,501624,2012/02,343.4,325510,274585,49.1,409319,54.1
59,92305,2012/01,-13.1,57729,57729,59.9,92305,59.9
