,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,3806124,2016/11,8.5,3809281,371681,6.3,394926,-0.1
1,3411198,2016/10,-11.1,3437626,345261,5.4,364076,-0.8
2,3047108,2016/09,4.1,3092365,360141,13.8,409711,-1.5
3,2637397,2016/08,1.6,2732224,343547,14.6,393523,-3.5
4,2243874,2016/07,17.9,2388677,347670,11.4,387304,-6.1
5,1856570,2016/06,-2.9,2041007,320603,2.5,328652,-9.0
6,1527918,2016/05,3.6,1720404,339507,-0.3,338598,-11.2
7,1189320,2016/04,-2.6,1380897,374722,-12.8,326815,-13.9
8,862502,2016/03,101.4,1006175,329814,1.7,335429,-14.3
9,527073,2016/02,-53.8,676361,239777,-30.5,166583,-22.1
10,360490,2016/01,0.0,436584,436584,-17.4,360490,-17.4
11,4169789,2015/12,-3.0,4496149,394935,-8.7,360508,-7.3
12,3809281,2015/11,7.7,4101169,418298,-11.1,371681,-7.1
13,3437600,2015/10,-4.1,3682873,363532,-5.0,345261,-6.7
14,3092364,2015/09,4.8,3319341,367685,-2.0,360141,-6.8
15,2732223,2015/08,-1.2,2951656,408279,-15.9,343547,-7.4
16,2388676,2015/07,8.4,2543377,447296,-22.3,347670,-6.1
17,2041005,2015/06,-5.6,2096081,408365,-21.5,320603,-2.6
18,1720402,2015/05,-9.4,1687716,374741,-9.4,339507,1.9
19,1380895,2015/04,13.6,1312975,359780,4.2,374722,5.2
20,1006175,2015/03,37.5,953195,342766,-3.8,329814,5.6
21,676361,2015/02,-45.1,610429,226517,5.8,239777,10.8
22,436584,2015/01,4.9,383912,383912,13.7,436584,13.7
23,4517402,2014/12,-0.5,4521609,435932,-4.5,416188,-0.1
24,4101214,2014/11,15.1,4085677,431466,-3.0,418298,0.4
25,3682916,2014/10,-1.1,3654211,343877,5.7,363532,0.8
26,3319382,2014/09,-9.9,3310234,375280,-2.0,367683,0.3
27,2951699,2014/08,-8.7,2934954,403260,1.2,408279,0.6
28,2543420,2014/07,9.5,2531694,401207,11.5,447296,0.5
29,2096081,2014/06,9.0,2130487,342188,19.3,408365,-1.6
30,1687716,2014/05,4.2,1788299,365944,2.4,374741,-5.6
31,1312975,2014/04,5.0,1422355,374152,-3.8,359780,-7.7
32,953200,2014/03,51.3,1048203,390346,-12.2,342771,-9.1
33,610429,2014/02,-41.0,657857,235669,-3.9,226517,-7.2
34,383912,2014/01,-14.0,422188,422188,-9.1,383912,-9.1
35,4531945,2013/12,3.4,4805016,437748,1.9,446268,-5.7
36,4085677,2013/11,25.5,4367268,395406,9.1,431466,-6.4
37,3654211,2013/10,-8.0,3971862,354419,-3.0,343877,-8.0
38,3308882,2013/09,-7.3,3617443,409534,-8.7,373828,-8.5
39,2935054,2013/08,0.5,3207909,416860,-3.3,403260,-8.5
40,2531794,2013/07,17.3,2791049,404415,-0.8,401207,-9.3
41,2130525,2013/06,-6.5,2386634,401448,-14.8,342115,-10.7
42,1788410,2013/05,-2.5,1985186,428223,-14.5,365955,-9.9
43,1423729,2013/04,-3.3,1556963,412260,-8.9,375426,-8.6
44,1046097,2013/03,64.7,1144703,446846,-13.1,388240,-8.6
45,657857,2013/02,-44.2,697857,377226,-37.5,235669,-5.7
46,422188,2013/01,0.0,320762,320762,31.6,422188,31.6
47,4186403,2012/12,2.3,4495861,408953,-10.6,365754,-6.9
48,3820648,2012/11,16.1,4086908,413814,-13.6,357385,-6.5
49,3463263,2012/10,-14.3,3673094,361692,-14.9,307801,-5.7
50,3155462,2012/09,3.1,3311402,396760,-9.5,359150,-4.7
51,2796312,2012/08,-0.1,2914642,436478,-20.2,348298,-4.1
52,2448014,2012/07,2.6,2478164,388448,-10.2,348656,-1.2
53,2099358,2012/06,-6.1,2089716,435930,-22.1,339688,0.5
54,1759670,2012/05,0.2,1653785,397066,-8.9,361716,6.4
55,1397954,2012/04,-10.8,1256720,385516,-6.4,360986,11.2
56,1036968,2012/03,21.0,871203,386284,4.8,404843,19.0
57,632125,2012/02,12.5,484919,186819,79.2,334712,30.4
58,297413,2012/01,-27.3,298100,298100,-0.2,297413,-0.2
59,4495861,2011/12,-1.2,3599813,269630,51.7,408953,24.9
60,4086908,2011/11,14.4,3330183,271574,52.4,413814,22.7
61,3673094,2011/10,-8.8,3058609,262306,37.9,361692,20.1
62,3311402,2011/09,-9.1,2796303,295831,34.1,396760,18.4
63,2914642,2011/08,12.4,2500472,341388,27.9,436478,16.6
64,2478164,2011/07,-10.9,2159084,377843,2.8,388448,14.8
65,2089716,2011/06,9.8,1781241,328654,32.6,435930,17.3
66,1653786,2011/05,3.0,1452587,319593,24.2,397066,13.9
67,1256720,2011/04,-0.2,1132994,334886,15.1,385516,10.9
68,871203,2011/03,106.8,798108,300701,28.5,386284,9.1
69,484919,2011/02,-37.3,497407,209619,-10.9,186819,-2.5
70,298100,2011/01,10.6,287788,287788,3.6,298100,3.6
