,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,3100030,2016/12,6.2,3400649,277852,5.2,292273,-8.8
1,2807757,2016/11,7.2,3122797,265914,3.5,275235,-10.1
2,2532522,2016/10,-15.8,2856883,315787,-18.7,256642,-11.4
3,2275880,2016/09,-0.3,2541096,358852,-15.1,304639,-10.4
4,1971241,2016/08,14.2,2182244,328566,-7.0,305554,-9.7
5,1665687,2016/07,0.5,1853678,300195,-10.9,267473,-10.1
6,1398214,2016/06,9.1,1553483,277695,-4.2,266116,-10.0
7,1132098,2016/05,0.2,1275788,260849,-6.5,243965,-11.3
8,888133,2016/04,2.3,1014939,272953,-10.8,243583,-12.5
9,644550,2016/03,35.9,741986,260343,-8.6,237998,-13.1
10,406552,2016/02,-24.3,481643,201818,-13.2,175183,-15.6
11,231369,2016/01,-16.7,279825,279825,-17.3,231369,-17.3
12,3400649,2015/12,4.5,3376797,301452,-7.8,277852,0.7
13,3122797,2015/11,-15.8,3075345,310817,-14.4,265914,1.5
14,2856883,2015/10,-12.0,2764528,326050,-3.2,315787,3.3
15,2541096,2015/09,9.2,2438478,367106,-2.3,358852,4.2
16,2182244,2015/08,9.4,2071372,304880,7.8,328566,5.3
17,1853678,2015/07,8.1,1766492,283405,5.9,300195,4.9
18,1553483,2015/06,6.5,1483087,294839,-5.8,277695,4.8
19,1275788,2015/05,-4.4,1188248,264345,-1.3,260849,7.4
20,1014939,2015/04,4.8,923903,276375,-1.2,272953,9.9
21,741986,2015/03,29.0,647528,221485,17.5,260343,14.6
22,481643,2015/02,-27.9,426043,179519,12.4,201818,13.1
23,279825,2015/01,-7.2,246524,246524,13.5,279825,13.5
24,3376797,2014/12,-3.0,2798636,241101,25.0,301452,20.7
25,3075345,2014/11,-4.7,2557535,246326,26.2,310817,20.3
26,2764528,2014/10,-11.2,2311209,267768,21.8,326050,19.6
27,2438478,2014/09,20.4,2043441,285639,28.5,367106,19.3
28,2071372,2014/08,7.6,1757802,289397,5.3,304880,17.8
29,1766492,2014/07,-3.9,1468405,271847,4.3,283405,20.3
30,1483087,2014/06,11.5,1196558,221092,33.4,294839,24.0
31,1188248,2014/05,-4.3,975466,216703,22.0,264345,21.8
32,923903,2014/04,24.8,758763,210807,31.1,276375,21.8
33,647528,2014/03,23.4,547956,198244,11.7,221485,18.2
34,426043,2014/02,-27.2,349712,146379,22.6,179519,21.8
35,246524,2014/01,2.3,203333,203333,21.2,246524,21.2
36,2798636,2013/12,-2.1,2721118,195176,23.5,241101,2.8
37,2557535,2013/11,-8.0,2525942,218397,12.8,246326,1.3
38,2311209,2013/10,-6.3,2307545,235494,13.7,267768,0.2
39,2043441,2013/09,-1.3,2072051,242613,17.7,285639,-1.4
40,1757802,2013/08,6.4,1829438,231505,25.0,289397,-3.9
41,1468405,2013/07,23.0,1597933,202852,34.0,271847,-8.1
42,1196558,2013/06,2.0,1395081,226059,-2.2,221092,-14.2
43,975466,2013/05,2.8,1169022,208794,3.8,216703,-16.5
44,758763,2013/04,6.3,960228,190859,10.4,210807,-21.0
45,547956,2013/03,35.4,769369,306799,-35.4,198244,-28.8
46,349712,2013/02,-28.0,462570,241771,-39.5,146379,-24.4
47,203333,2013/01,0.0,220799,220799,-7.9,203333,-7.9
48,1579163,2012/12,-8.2,1726451,121645,-3.7,117154,-8.5
49,1462009,2012/11,-11.9,1604806,141116,-9.6,127566,-8.9
50,1334443,2012/10,-8.5,1463690,142555,1.6,144815,-8.8
51,1189628,2012/09,6.3,1321135,185860,-14.9,158254,-9.9
52,1031374,2012/08,16.5,1135275,167994,-11.4,148851,-9.1
53,882523,2012/07,-9.4,967281,145105,-11.9,127803,-8.8
54,754720,2012/06,6.1,822176,154316,-8.6,141087,-8.2
55,613633,2012/05,5.4,667045,155173,-14.3,132937,-8.0
56,480696,2012/04,-8.9,511872,148562,-15.1,126164,-6.1
57,354532,2012/03,27.2,363311,153215,-9.6,138468,-2.4
58,216065,2012/02,1.5,210096,87118,24.9,108852,2.8
59,107213,2012/01,-11.9,122978,122978,-12.8,107213,-12.8
