,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,498311,2016/12,6.1,660744,46458,12.8,52410,-24.6
1,445901,2016/11,46.5,614284,34279,44.1,49399,-27.4
2,396502,2016/10,-31.7,580005,43931,-23.2,33732,-31.6
3,362769,2016/09,-2.2,536074,55354,-10.8,49358,-32.3
4,313412,2016/08,16.1,480720,77415,-34.8,50440,-34.8
5,262971,2016/07,23.1,403305,81594,-46.8,43442,-34.8
6,219530,2016/06,1.5,321711,53461,-34.0,35293,-31.8
7,184237,2016/05,-0.1,268250,53820,-35.4,34770,-31.3
8,149466,2016/04,-28.5,214430,63530,-45.2,34799,-30.3
9,114667,2016/03,118.9,150900,62113,-21.6,48700,-24.0
10,65967,2016/02,-49.1,88787,25835,-13.9,22246,-25.7
11,43721,2016/01,-5.9,62952,62952,-30.5,43721,-30.5
12,660744,2015/12,35.5,805867,73553,-36.8,46458,-18.0
13,614285,2015/11,-22.0,732314,79619,-57.0,34279,-16.1
14,580006,2015/10,-20.6,652695,81308,-46.0,43931,-11.1
15,536075,2015/09,-28.5,571387,89041,-37.8,55354,-6.2
16,480721,2015/08,-5.1,482346,84448,-8.3,77415,-0.3
17,403306,2015/07,52.6,397898,78591,3.8,81594,1.4
18,321712,2015/06,-0.7,319307,72254,-26.0,53461,0.8
19,268251,2015/05,-15.3,247053,56444,-4.7,53820,8.6
20,214431,2015/04,2.3,190609,56534,12.4,63530,12.5
21,150900,2015/03,140.4,134075,60892,2.0,62113,12.6
22,88788,2015/02,-59.0,73183,28060,-7.9,25835,21.3
23,62952,2015/01,-14.4,45123,45123,39.5,62952,39.5
24,805867,2014/12,-7.6,727422,70686,4.1,73553,10.8
25,732314,2014/11,-2.1,656736,60040,32.6,79619,11.5
26,652695,2014/10,-8.7,596695,57988,40.2,81308,9.4
27,571387,2014/09,5.4,538707,60323,47.6,89041,6.1
28,482345,2014/08,7.4,478384,65168,29.6,84448,0.8
29,397897,2014/07,8.8,413216,83537,-5.9,78591,-3.7
30,319306,2014/06,28.0,329679,67343,7.3,72254,-3.2
31,247053,2014/05,-0.2,262336,56655,-0.4,56444,-5.8
32,190609,2014/04,-7.2,205681,65330,-13.5,56534,-7.3
33,134075,2014/03,117.0,140351,67015,-9.1,60892,-4.5
34,73183,2014/02,-37.8,73336,20902,34.3,28060,-0.2
35,45123,2014/01,-36.2,52434,52434,-13.9,45123,-13.9
36,727422,2013/12,17.7,1308147,47244,49.6,70686,-44.4
37,656736,2013/11,3.5,1260903,64999,-7.6,60040,-47.9
38,596695,2013/10,-3.9,1195903,84817,-31.6,57988,-50.1
39,538707,2013/09,-7.4,1111086,127380,-52.6,60323,-51.5
40,478384,2013/08,-22.0,983706,141941,-54.1,65168,-51.4
41,413216,2013/07,24.0,841765,138391,-39.6,83537,-50.9
42,329679,2013/06,18.9,703374,130123,-48.2,67343,-53.1
43,262335,2013/05,-13.3,573251,137370,-58.8,56655,-54.2
44,205681,2013/04,-2.5,435881,122501,-46.7,65330,-52.8
45,140352,2013/03,220.6,313381,127938,-47.6,67015,-55.2
46,73336,2013/02,-60.1,185443,100980,-79.3,20902,-60.5
47,52434,2013/01,0.0,84464,84464,-37.9,52434,-37.9
48,1214049,2012/12,-31.0,1132801,83652,-57.9,35207,7.2
49,1178842,2012/11,-32.7,1049149,106610,-52.2,51012,12.4
50,1127831,2012/10,-37.1,942539,104089,-27.2,75784,19.6
51,1052047,2012/09,-10.2,838450,118318,1.8,120438,25.5
52,931608,2012/08,-12.3,720132,110267,21.6,134138,29.4
53,797470,2012/07,41.9,609865,133139,14.9,152932,30.8
54,644538,2012/06,-21.8,476726,116585,-7.5,107787,35.2
55,536751,2012/05,23.5,360141,100302,37.5,137911,49.0
56,398840,2012/04,-4.1,259839,76542,45.9,111665,53.5
57,287175,2012/03,5.1,183297,85509,36.2,116457,56.7
58,170718,2012/02,85.2,97787,40429,174.2,110850,74.6
59,59868,2012/01,-28.4,57358,57358,4.4,59868,4.4
