,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,9510693,2016/11,-48.8,6956465,961309,18.2,1136538,36.7
1,8374155,2016/10,-47.5,5995156,632354,251.0,2219567,39.7
2,6154588,2016/09,1291.9,5362802,152673,2668.1,4226067,14.8
3,1928521,2016/08,-46.7,5210129,192354,57.8,303608,-63.0
4,1624913,2016/07,28.8,5017775,742093,-23.2,569686,-67.6
5,1055227,2016/06,160.0,4275682,278034,59.0,442175,-75.3
6,613052,2016/05,-10.6,3997648,315931,-46.2,170071,-84.7
7,442981,2016/04,41.9,3681717,1096601,-82.6,190320,-88.0
8,252661,2016/03,4333.0,2585116,1389576,-90.3,134098,-90.2
9,118563,2016/02,-97.4,1195540,821652,-99.6,3025,-90.1
10,115538,2016/01,-80.4,373888,373888,-69.1,115538,-69.1
11,7546149,2015/12,-38.7,6441828,4709564,-87.5,589684,17.1
12,6956465,2015/11,52.0,1732264,272305,253.0,961309,301.6
13,5995156,2015/10,314.2,1459959,26642,2273.5,632354,310.6
14,5362802,2015/09,-20.6,1433317,532687,-71.3,152673,274.1
15,5210129,2015/08,-74.1,900630,62863,206.0,192354,478.5
16,5017775,2015/07,166.9,837767,115403,543.0,742093,499.0
17,4275682,2015/06,-12.0,722364,37357,644.3,278034,491.9
18,3997648,2015/05,-71.2,685007,129527,143.9,315931,483.6
19,3681717,2015/04,-21.1,555480,162647,574.2,1096601,562.8
20,2585116,2015/03,69.1,392833,197532,603.5,1389576,558.1
21,1195540,2015/02,119.8,195301,93289,780.8,821652,512.2
22,373888,2015/01,-92.1,102012,102012,266.5,373888,266.5
23,6441828,2014/12,1629.5,10271810,1700818,176.9,4709564,-37.3
24,1732264,2014/11,922.1,8570992,40964,564.7,272305,-79.8
25,1459959,2014/10,-95.0,8530028,1228,2069.5,26642,-82.9
26,1433317,2014/09,747.4,8528800,1245,42686.1,532687,-83.2
27,900630,2014/08,-45.5,8527555,55508,13.3,62863,-89.4
28,837767,2014/07,208.9,8472047,51524,124.0,115403,-90.1
29,722364,2014/06,-71.2,8420523,55343,-32.5,37357,-91.4
30,685007,2014/05,-20.4,8365180,52626,146.1,129527,-91.8
31,555480,2014/04,-17.7,8312554,97675,66.5,162647,-93.3
32,392833,2014/03,111.7,8214879,407387,-51.5,197532,-95.2
33,195301,2014/02,-8.6,7807492,2030467,-95.4,93289,-97.5
34,102012,2014/01,-94.0,5777025,5777025,-98.2,102012,-98.2
35,10271810,2013/12,4052.0,7783722,528873,221.6,1700818,32.0
36,8570992,2013/11,3235.8,7254849,4810060,-99.1,40964,18.1
37,8530028,2013/10,-1.4,2444789,2106287,-99.9,1228,248.9
38,8528800,2013/09,-97.8,338502,330288,-99.6,1245,2419.6
39,8527555,2013/08,7.7,8214,1193,4552.8,55508,103717.3
40,8472047,2013/07,-6.9,7021,1298,3869.5,51524,120567.2
41,8420523,2013/06,5.2,5723,5723,867.0,55343,147034.8
42,8365180,2013/05,-46.1,1277199,325754,-83.8,52626,555.0
43,8312554,2013/04,-76.0,951445,256505,-61.9,97675,773.7
44,8214879,2013/03,-79.9,694940,336303,21.1,407387,1082.1
45,7807492,2013/02,-64.8,358637,170230,1092.8,2030467,2077.0
46,5777025,2013/01,0.0,188406,188406,2966.3,5777025,2966.3
47,5536058,2012/12,-97.4,8498529,460272,-81.6,84891,-34.8
48,5451167,2012/11,2066.7,8038257,590811,462.2,3321632,-32.2
49,2129535,2012/10,-21.4,7447446,628197,-75.6,153302,-71.4
50,1976233,2012/09,62.2,6819249,609703,-68.0,195060,-71.0
51,1781173,2012/08,-37.4,6209546,708613,-83.0,120264,-71.3
52,1660909,2012/07,0.3,5500933,800112,-76.0,192099,-69.8
53,1468810,2012/06,-41.2,4700821,562156,-65.9,191611,-68.8
54,1277199,2012/05,27.0,4138665,618493,-47.3,325754,-69.1
55,951445,2012/04,-23.7,3520172,720298,-64.4,256505,-73.0
56,694940,2012/03,97.6,2799874,508626,-33.9,336303,-75.2
57,358637,2012/02,-9.6,2291248,354518,-52.0,170230,-84.3
58,188406,2012/01,-59.1,1936730,1936730,-90.3,188406,-90.3
59,8498529,2011/12,-22.1,9834275,1073701,-57.1,460272,-13.6
60,8038257,2011/11,-5.9,8760574,861753,-31.4,590811,-8.2
61,7447446,2011/10,3.0,11330510,868438,-27.7,628197,-34.3
62,6819249,2011/09,-13.9,7030383,629426,-3.1,609703,-3.0
63,6209546,2011/08,-11.4,6400957,476058,48.8,708613,-3.0
64,5500933,2011/07,42.3,5924899,1040015,-23.1,800112,-7.2
65,4700821,2011/06,-9.1,4884884,461468,21.8,562156,-3.8
66,4138665,2011/05,-14.1,4423416,651262,-5.0,618493,-6.4
67,3520172,2011/04,41.6,3772154,1035968,-30.5,720298,-6.7
68,2799874,2011/03,43.5,2736186,407618,24.8,508626,2.3
69,2291248,2011/02,-81.7,2328568,583152,-39.2,354518,-1.6
70,1936730,2011/01,80.4,1745416,1745416,11.0,1936730,11.0
